time	V(vout)	V(vpre)
1.000050603485750e-005	-2.471815e-005	8.891373e-001
1.000050603485850e-005	-2.471815e-005	8.891373e-001
1.000050603485950e-005	-2.471815e-005	8.891373e-001
1.000050603486418e-005	-2.471815e-005	8.891373e-001
1.000050603486786e-005	-2.471815e-005	8.891372e-001
1.000050603675219e-005	-2.471815e-005	8.891339e-001
1.000050603863651e-005	-2.471815e-005	8.891305e-001
1.000050604052082e-005	-2.471815e-005	8.891271e-001
1.000050604240513e-005	-2.471815e-005	8.891237e-001
1.000050604264067e-005	-2.471815e-005	8.891233e-001
1.000050604267011e-005	-2.471815e-005	8.891232e-001
1.000050605774449e-005	-2.471815e-005	8.890961e-001
1.000050605798002e-005	-2.471815e-005	8.890957e-001
1.000050605821555e-005	-2.471815e-005	8.890952e-001
1.000050605845108e-005	-2.471815e-005	8.890948e-001
1.000050605868661e-005	-2.471815e-005	8.890944e-001
1.000050605892214e-005	-2.471815e-005	8.890939e-001
1.000050605895158e-005	-2.471815e-005	8.890939e-001
1.000050605898102e-005	-2.471815e-005	8.890938e-001
1.000050605901046e-005	-2.471815e-005	8.890938e-001
1.000050605903990e-005	-2.471815e-005	8.890938e-001
1.000050605904190e-005	-2.471815e-005	8.890937e-001
1.000050607411578e-005	-2.471815e-005	8.890666e-001
1.000050608918920e-005	-2.471815e-005	8.890395e-001
1.000050609107332e-005	-2.471815e-005	8.890361e-001
1.000050609130884e-005	-2.471815e-005	8.890356e-001
1.000050609154435e-005	-2.471815e-005	8.890352e-001
1.000050609157379e-005	-2.471815e-005	8.890352e-001
1.000050609160323e-005	-2.471815e-005	8.890351e-001
1.000050609163267e-005	-2.471815e-005	8.890350e-001
1.000050609166211e-005	-2.471815e-005	8.890350e-001
1.000050609169155e-005	-2.471815e-005	8.890349e-001
1.000050609169523e-005	-2.471815e-005	8.890349e-001
1.000050609169891e-005	-2.471815e-005	8.890349e-001
1.000050610677179e-005	-2.471815e-005	8.890078e-001
1.000050612184422e-005	-2.471815e-005	8.889807e-001
1.000050613691618e-005	-2.471815e-005	8.889536e-001
1.000050615198769e-005	-2.471815e-005	8.889264e-001
1.000050615387157e-005	-2.471815e-005	8.889230e-001
1.000050615575544e-005	-2.471815e-005	8.889197e-001
1.000050615599093e-005	-2.471815e-005	8.889192e-001
1.000050615622641e-005	-2.471815e-005	8.889188e-001
1.000050615646189e-005	-2.471815e-005	8.889183e-001
1.000050615669738e-005	-2.471815e-005	8.889179e-001
1.000050615693286e-005	-2.471815e-005	8.889175e-001
1.000050615716834e-005	-2.471815e-005	8.889171e-001
1.000050615719778e-005	-2.471815e-005	8.889170e-001
1.000050615722721e-005	-2.471815e-005	8.889170e-001
1.000050615725665e-005	-2.471815e-005	8.889169e-001
1.000050615726033e-005	-2.471815e-005	8.889169e-001
1.000050615726401e-005	-2.471815e-005	8.889169e-001
1.000050627783108e-005	-2.471815e-005	8.886999e-001
1.000050627971448e-005	-2.471815e-005	8.886965e-001
1.000050628159788e-005	-2.471815e-005	8.886931e-001
1.000050628536464e-005	-2.471815e-005	8.886864e-001
1.000050628724802e-005	-2.471815e-005	8.886830e-001
1.000050628748344e-005	-2.471815e-005	8.886825e-001
1.000050628771886e-005	-2.471815e-005	8.886821e-001
1.000050628795428e-005	-2.471815e-005	8.886817e-001
1.000050628795896e-005	-2.471815e-005	8.886817e-001
1.000050628796263e-005	-2.471815e-005	8.886817e-001
1.000050628796999e-005	-2.471815e-005	8.886817e-001
1.000050628797367e-005	-2.471815e-005	8.886817e-001
1.000050628797735e-005	-2.471815e-005	8.886817e-001
1.000050628798102e-005	-2.471815e-005	8.886817e-001
1.000050628798470e-005	-2.471815e-005	8.886817e-001
1.000050628798838e-005	-2.471815e-005	8.886817e-001
1.000050628799306e-005	-2.471815e-005	8.886816e-001
1.000050628800041e-005	-2.471815e-005	8.886816e-001
1.000050628800409e-005	-2.471815e-005	8.886816e-001
1.000050628800777e-005	-2.471815e-005	8.886816e-001
1.000050628801144e-005	-2.471815e-005	8.886816e-001
1.000050628801512e-005	-2.471815e-005	8.886816e-001
1.000050628801880e-005	-2.471815e-005	8.886816e-001
1.000050628802616e-005	-2.471815e-005	8.886815e-001
